"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-05-31,96190,"90638","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","La Mirada",1785,553900,0.00398767446075766,0.0198858405450193,0.0639646561659623,0.0978558398360409,0.00127262857398924,"2006-07","2006-Q3",564200,-0.0182559376107763,"2006-03"
2017-05-31,62079,"11367","NY","New York","Queens","New York",1786,645800,0.0107998121771795,0.0505937855864649,0.222411508612531,0.0987375416429344,0.0429733665951344,"2017-05","2017-Q2",645800,0,"2017-05"
2017-05-31,72933,"33952","FL","Punta Gorda","Charlotte","Port Charlotte",1787,136200,0.0022075055187638,0.00590841949778434,0.120065789473684,0.161965482215815,-0.00260544353334058,"2006-05","2006-Q2",165200,-0.175544794188862,"2005-04"
2017-05-31,97704,"94404","CA","San Francisco","San Mateo","Foster City",1788,1391100,0.00906716959234006,0.0227172474636083,0.0380568614282516,0.121924679254417,0.0505196066472773,"2017-05","2017-Q2",1391100,0,"2017-05"
2017-05-31,97531,"94044","CA","San Francisco","San Mateo","Pacifica",1789,888400,0.00839954597048808,0.0165922874470763,0.0563614744351962,0.124680290843574,0.021908549306924,"2017-05","2017-Q2",888400,0,"2017-05"
2017-05-31,78998,"48127","MI","Detroit","Wayne","Dearborn Heights",1790,138500,0.0102115244347192,0.0351270553064275,0.134316134316134,0.157697535706964,-0.00319232412630333,"2005-11","2005-Q4",153200,-0.0959530026109661,"2001-02"
2017-05-31,94792,"85086","AZ","Phoenix","Maricopa","Anthem",1791,332200,0.00392867935932306,0.00758265089475281,0.0348909657320872,0.0712275744887194,-0.0151527732496142,"2006-04","2006-Q2",429300,-0.226182156999767,"2005-03"
2017-05-31,97527,"94040","CA","San Jose","Santa Clara","Mountain View",1792,1957500,0.00876062870394228,0.0364271721289776,0.0838870431893688,0.134466879592264,0.0654207821746062,"2017-05","2017-Q2",1957500,0,"2017-05"
2017-05-31,97434,"93726","CA","Fresno","Fresno","Fresno",1793,176800,0.00454545454545455,0.0207852193995381,0.0612244897959184,0.101567597091655,-0.0265960000473365,"2006-05","2006-Q2",255600,-0.30829420970266,"2004-08"
2017-05-31,71056,"30338","GA","Atlanta","Dekalb","Dunwoody",1794,455700,-0.00740579394467436,-0.0216831258050666,0.0602605863192182,0.0698734540021693,0.0139875715282824,"2017-02","2017-Q1",465800,-0.0216831258050666,"2016-12"
