"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-06-30,"98304","WA","Seattle","Pierce","Ashford",15674,1148,-0.000870322019147084,0.00174520069808028,0.111326234269119,542
2017-06-30,"22715","VA",,"Madison","Brightwood",15675,1303,-0.00153256704980843,-0.00534351145038168,-0.0151171579743008,444
2017-06-30,"20624","MD","California-Lexington Park","Saint Marys","Clements",15676,1627,-0.0073215375228798,-0.00853138330286411,-0.0109422492401216,416
2017-06-30,"48749","MI",,"Arenac","Omer",15677,782,0.0077319587628866,0.0142671854734112,0.00643500643500644,723
2017-06-30,"62094","IL",,"Montgomery","Witt",15678,888,-0.0111358574610245,-0.0144284128745838,-0.131115459882583,475
2017-06-30,"73074","OK",,"Garvin","Paoli",15679,778,-0.00256410256410256,-0.01143583227446,-0.03831891223733,428
2017-06-30,"97632","OR","Klamath Falls","Klamath","Malin",15680,926,0.0187018701870187,0.0522727272727273,0.108982035928144,421
2017-06-30,"20609","MD","California-Lexington Park","Saint Marys","Avenue",15681,1525,-0.00780741704619388,-0.0103828682673589,-0.00196335078534031,565
2017-06-30,"05770","VT",,"Addison","Shoreham",15682,1782,-0.000560852495793606,0.112359550561798,0.104089219330855,802
2017-06-30,"79031","TX",,"Lamb","Earth",15683,1018,0.00394477317554241,0.0251762336354481,-0.00779727095516569,420
2017-06-30,"06778","CT","Torrington","Litchfield","Town of Litchfield",15684,1472,-0.003385240352065,0.00136054421768707,-0.0366492146596859,464
2017-06-30,"38476","TN","Nashville","Williamson","Primm Springs",15685,1535,0.00523903077930583,0.00655737704918033,0.0145406477197621,600
2017-06-30,"95629","CA",,"Amador","Volcano",15686,1725,0.00407450523864959,0.0164997053624042,0.022525192649674,420
2017-06-30,"98358","WA",,"Jefferson","Nordland",15687,1810,0.0117384013415316,0.0231769361221029,0.0910186859553948,520
2017-06-30,"54007","WI","Minneapolis-St Paul","Saint Croix","Deer Park",15688,1267,0.00875796178343949,-0.0253846153846154,-0.050936329588015,541
2017-06-30,"65046","MO","Jefferson City","Moniteau","Jamestown",15689,932,0.00431034482758621,0.0185792349726776,0.0367074527252503,514
2017-06-30,"49619","MI",,"Manistee","Brethren",15690,869,0.0116414435389988,0.0199530516431925,0.0046242774566474,539
2017-06-30,"21733","MD","Hagerstown","Washington","Fairplay",15691,1352,-0.00879765395894428,-0.0152949745083758,0.0257966616084977,467
2017-06-30,"03590","NH","Berlin","Coos","Stratford",15692,1098,-0.00181818181818182,-0.00991884580703336,0,554
2017-06-30,"60512","IL","Chicago","Kendall","Montgomery",15693,1772,0.00968660968660969,0.0266512166859791,0.00911161731207289,435
2017-06-30,"48727","MI","Detroit","Lapeer","Clifford",15694,914,0.00109529025191676,-0.00867678958785249,0.0740305522914219,525
2017-06-30,"61754","IL","Bloomington","McLean","McLean",15695,979,-0.0131048387096774,-0.0411361410381978,-0.00508130081300813,474
2017-06-30,"52146","IA",,"Allamakee","Harpers Ferry",15696,1042,0.017578125,0.065439672801636,0.0820353063343718,545
2017-06-30,"49895","MI",,"Alger","Wetmore",15697,1057,-0.00188857412653447,-0.00188857412653447,-0.0486048604860486,555
2017-06-30,"24059","VA","Roanoke","Roanoke","Bent Mountain",15698,1033,-0.00193236714975845,0,-0.0760286225402504,721
2017-06-30,"47386","IN","New Castle","Henry","Springport",15699,1044,0.00288184438040346,0.00869565217391304,0.0275590551181102,565
2017-06-30,"51525","IA","Omaha","Pottawattamie","Carson",15700,1055,-0.0167753960857409,-0.0426497277676951,0.0435212660731949,530
2017-06-30,"48613","MI","Bay City","Bay","Bentley",15701,815,-0.00609756097560976,-0.00609756097560976,-0.0286054827175209,441
2017-06-30,"49724","MI","Sault Ste. Marie","Chippewa","Dafter",15702,856,0.0154211150652432,0.0300842358604091,-0.0172215843857635,522
2017-06-30,"33855","FL","Lakeland","Polk","Lake Wales",15703,1129,0.00983899821109123,0.019873532068654,0.046339202965709,584
2017-06-30,"23039","VA","Richmond","Goochland","Crozier",15704,1682,0,-0.00118764845605701,0.0281173594132029,443
2017-06-30,"43066","OH","Columbus","Delaware","Radnor",15705,1621,0.00185414091470952,0.00309405940594059,0.042443729903537,435
2017-06-30,"61847","IL","Champaign-Urbana","Champaign","Gifford",15706,1051,-0.00284629981024668,0.00382043935052531,0.00863723608445298,469
2017-06-30,"66023","KS","Atchison","Atchison","Effingham",15707,904,0.0145903479236813,0.0402761795166858,0.0157303370786517,455
2017-06-30,"56324","MN","Fergus Falls","Otter Tail","Dalton",15708,1253,0.000798722044728434,0.0096696212731668,-0.0391104294478528,567
2017-06-30,"17823","PA","Sunbury","Northumberland","Washington Township",15709,1144,-0.00608166811468288,-0.00694444444444444,0.0141843971631206,433
2017-06-30,"46035","IN","Frankfort","Clinton","Colfax",15710,839,0.00841346153846154,0.0157384987893462,0.0513784461152882,525
2017-06-30,"79366","TX","Lubbock","Lubbock","Ransom Canyon",15711,1772,-0.012263099219621,-0.00561167227833894,-0.012263099219621,495
2017-06-30,"93664","CA","Fresno","Fresno","Shaver Lake",15712,1894,-0.00315789473684211,-0.0155925155925156,-0.0047293746715712,493
2017-06-30,"20692","MD","California-Lexington Park","Saint Marys","Valley Lee",15713,1607,-0.00618429189857761,-0.00556930693069307,0.0274936061381074,438
2017-06-30,"67464","KS","McPherson","McPherson","Marquette",15714,775,0,0.00911458333333333,0.0130718954248366,445
2017-06-30,"50162","IA","Marshalltown","Marshall","Melbourne",15715,904,-0.0184581976112921,-0.0464135021097046,-0.122330097087379,550
2017-06-30,"80820","CO","Denver","Park","Guffey",15716,1416,0.00354358610914245,0.00782918149466192,0.0290697674418605,597
2017-06-30,"72768","AR","Fayetteville","Benton","Sulphur Springs",15717,868,0.010477299185099,0.0152046783625731,-0.0147559591373439,423
2017-06-30,"37710","TN","Knoxville","Anderson","Briceville",15718,809,0.00998751560549313,0.0465717981888745,0.0873655913978495,587
2017-06-30,"61257","IL","Davenport","Rock Island","Hillsdale",15719,849,0.00236127508854782,0.00831353919239905,-0.00817757009345794,440
2017-06-30,"05769","VT",,"Addison","Salisbury",15720,1690,-0.00879765395894428,0.0702976567447752,0.104575163398693,687
2017-06-30,"55753","MN",,"Itasca","Keewatin",15721,979,-0.00305498981670061,-0.02002002002002,-0.119604316546763,563
2017-06-30,"36511","AL","Daphne","Baldwin","Bon Secour",15722,1307,0.0100463678516229,0.0307570977917981,0.00926640926640927,651
2017-06-30,"22650","VA",,"Page","Rileyville",15723,1176,-0.00675675675675676,-0.0224438902743142,-0.0313014827018122,504
2017-06-30,"50447","IA",,"Hancock","Kanawha",15724,739,-0.00672043010752688,-0.0439844760672704,-0.11497005988024,505
2017-06-30,"54772","WI","Menomonie","Dunn","Wheeler",15725,1019,-0.0048828125,-0.0106796116504854,-0.00971817298347911,443
2017-06-30,"61931","IL","Charleston","Coles","Humboldt",15726,1130,0.00533807829181495,0.0580524344569288,-0.0813008130081301,519
2017-06-30,"49922","MI","Houghton","Houghton","Dollar Bay",15727,924,0.0176211453744493,0.0358744394618834,0.0065359477124183,519
2017-06-30,"46301","IN","Chicago","Lake","Griffith",15728,2105,0.0253287871407696,0.0374568753080335,-0.144308943089431,579
2017-06-30,"20693","MD","Washington","Charles","Welcome",15729,1863,0.00920910075839653,-0.00956937799043062,-0.0475460122699387,496
2017-06-30,"50139","IA","Des Moines","Warren","Lacona",15730,1007,-0.000992063492063492,-0.00690335305719921,-0.101694915254237,425
2017-06-30,"53550","WI","Madison","Green","Juda",15731,1153,0.00173761946133797,0.0131810193321617,0.0616942909760589,574
